ACCTTYPE,SF,X,Y
Residential,23244,-104.8690316,40.50430259
Residential,24651,-104.8690447,40.50450091
Residential,528,-104.8696933,40.50243804
Residential,672,-104.8696719,40.5025828
Residential,672,-104.8696756,40.50272388
Residential,100,-104.8696693,40.50286491
Residential,480,-104.8696568,40.50313935
Residential,64,-104.8696355,40.50327648
Residential,120,-104.8696043,40.50340975
Residential,3600,-104.8695979,40.50356222
Residential,2333,-104.8696017,40.50368805
Residential,3000,-104.8696006,40.50381005
Residential,2344,-104.8696391,40.50396276
Residential,1700,-104.8696226,40.50412279
Residential,1700,-104.8691261,40.50326991
Residential,1700,-104.8688613,40.5032799
Residential,1700,-104.8686816,40.5032713
Residential,1700,-104.8683619,40.50327338
Residential,1700,-104.8681021,40.50328721
Residential,3400,-104.8678765,40.50336986
Residential,1700,-104.8676759,40.50346027
Residential,1700,-104.8691702,40.50282408
Residential,3400,-104.8689404,40.50283427
Residential,1700,-104.8687507,40.5028218
Residential,3400,-104.8684161,40.50282379
Residential,1700,-104.8682162,40.50283414
Residential,3400,-104.8679964,40.50283676
Residential,3400,-104.8677665,40.50285457
Residential,23244,-104.8675162,40.5029104
Residential,694,-104.867301,40.50295879
Residential,672,-104.8665409,40.50252764
Residential,866,-104.8665892,40.50270328
Residential,888,-104.8666625,40.50287906
Residential,1176,-104.8667309,40.50303193
Residential,1404,-104.8668293,40.5031926
Vacant Land,360,-104.866933,40.5033266
Vacant Land,2188,-104.8679832,40.5047887
Residential,1920,-104.8691631,40.50251904
Residential,432,-104.8689433,40.50252547
Residential,7500,-104.8675545,40.50255604
Residential,7500,-104.8673495,40.5025778
Residential,1080,-104.8671146,40.50259177
Residential,2216,-104.8684188,40.50252643
Residential,448,-104.8682291,40.50252159
Residential,680,-104.868448,40.50208052
Residential,800,-104.868268,40.5020948
Residential,80,-104.8678986,40.50207754
Residential,928,-104.8677188,40.50208037
Residential,20504,-104.866824,40.50376445
Residential,20504,-104.8668975,40.50390972
Residential,928,-104.8669962,40.5040437
Residential,928,-104.86709,40.5041624
Residential,20504,-104.8671637,40.50428861
Residential,1984,-104.8672376,40.50439577
Residential,504,-104.8673314,40.50451828
Residential,900,-104.8674399,40.50465993
Residential,180,-104.8675386,40.50479391
Residential,1216,-104.9358568,40.44111762
Residential,1216,-104.6826119,40.37809019
Residential,2128,-104.6827451,40.37810352
Residential,1216,-104.683125,40.37755717
Residential,1152,-104.683116,40.37764403
Residential,1216,-104.6831089,40.37774006
Residential,1152,-104.6831165,40.37793685
Residential,1216,-104.6831151,40.37804817
Residential,1216,-104.683108,40.3781442
Residential,1216,-104.6834991,40.37762995
Residential,1216,-104.6834919,40.37772598
Residential,1216,-104.6835067,40.37782674
Residential,1216,-104.6834995,40.37792277
Residential,1216,-104.6834982,40.37803409
Residential,1216,-104.6834911,40.37813012
Residential,1216,-104.68383,40.37763533
Residential,1216,-104.6838229,40.37773136
Residential,1216,-104.6838376,40.37783212
Residential,1216,-104.6838305,40.37792815
Residential,1216,-104.6838292,40.37803947
Residential,1152,-104.683822,40.3781355
